,sentence
596,Las hojas tienen forma de corazón.
597,La isla se puede visitar yendo en barca desde Pátzcuaro.
598,Trabajó con el científico y matemático Pierre-Simon Laplace.
599,El libertino suele representarse como gran bebedor o jugador.
600,La reconstrucción posterior a la intensa guerra se inició rápidamente.
601,Esta obra románica fue estudiada por Ambrosio de Morales.
602,Como escritora ha publicado multitud de ensayos y artículos.
603,"Además, existen dos versiones para estudiantes."
604,Cavada se convirtió en un municipio independiente.
605,Es opuesto al Valle de La Orotava.
606,La gira recibió revisiones positivas de más críticos.
607,Todas las etapas usaban aletas estabilizadoras.
608,Fue sacerdote católico durante quince años.
609,España participa en varios programas y organismos científicos internacionales.
610,Los senadores son elegidos de listas partidarias.
611,Forma parte del ayuntamiento de El Pino.
612,Todos los cuadros se encuentra en el Museo de Orsay.
613,Le enseñó casi un año.
614,Fue miembro honorario de la hermandad Delta Sigma Theta.
615,La madera es blanca y suave.
616,Un acontecimiento cambiará por completo la situación sentimental de ambos.
617,Poseía un inquebrantable sentido del deber.
618,Siempre lleva en su brazo derecho una culebra como bastón.
619,Y el aire que echaban era lúcido y resplandeciente.
620,Ya lucía entonces dos bandas de herido en combate.
621,Prolífica con cosecha en higos medianos de poca calidad.
622,Karl Böhm nació en el seno de una familia acomodada.
623,La razón radica en los altos precios de las propiedades.
624,Jordan ha sido telonero de Amy Winehouse.
625,Se derribó ese mismo año para construir la plaza actual.
626,Todos ellos están acusados por asociación ilícita y estafa.
627,"Tenía su sede en la ciudad de Casper, Wyoming."
628,Era regida por el propio Gobernador Intendente de Concepción.
629,La película tuvo una reacción positiva.
630,El comercio exterior descendió bruscamente tras la guerra civil.
631,Sus novelas hablan de redención.
632,La crueldad constituye otro componente de su estilo.
633,Otras dos figuras prácticamente están perdidas.
634,Los agregados de la matriz ósea se denominan espículas óseas.
635,"Sin embargo, estas conexiones irónicamente crean confusión cronológicamente."
636,Realizó sus primeros estudios en Tortosa y Zaragoza.
637,Uno de los factores fue la falta del gobierno sostenible.
638,Además de radio hace sesiones como pinchadiscos principalmente en Madrid.
639,"Además, estos acuerdos fueron escasamente llevados a la práctica."
640,Se destacó como líder agraria y comunal en Meta.
641,Su hermana es la actriz y modelo Liz Solari.
642,En ese mismo año se creó la Carrera de Calígrafos.
643,El clima de Chula Vista es mediterráneo seco.
644,"Otros cronistas lo mencionan como ""Titu Yupanqui""."
645,Solamente falta añadir agua en el sitio de la obra.
646,La ciudad de Córdoba posee un escudo propio.
647,Al este limita con el macizo Etíope.
648,En Rojava no se suele cobrar impuestos.
649,La autopista aún se encuentra en fase de construcción.
650,Gaddi vivió en Florencia donde fue además banquero y comerciante.
651,Cercano a la Plaza de Antón Martín.
652,Jumbo es el tercero del que se conservan vestigios escritos.
653,La autopista debe estar enlazada a los países extranjeros.
654,Cristo está entregando un plato a sus apóstoles.
655,Las luces de posición van por el parachoques.
656,Pueden ser consideradas las obras más destacadas de su producción.
657,Es hermana de la bajista Jenny Lee Lindberg.
658,Es miembro de la Sociedad Matemática Americana.
659,"Es nativo de Mozambique, Tanzania y Zimbabue."
660,Los astronautas dejaron huellas por todos lados.
661,Todas las canciones están compuestas e interpretadas por Trent Reznor.
662,Ninguno de ello está cubierto.
663,Pero no por cojo es menos veloz y ágil.
664,Existieron además otras dos especies hoy extintas.
665,"Presentan sistema de canales, con estolones uniendo las camarillas."
666,"Desde entonces, quedó bajo total dominio británico."
667,La oferta varía según el país.
668,En la actualidad se tiene soporte para otros juegos.
669,En un pequeño pueblo en Alabama vive la familia Brown.
670,Uno de sus usos es como colorante para la lana.
671,Trasladó el hospital de la Capital y creó varias escuelas.
672,"El programa es un software libre, de código abierto."
673,El distrito congresional abarca a todo el estado de Wyoming.
674,Ellos graban todo con una cámara digital.
675,"Temiendo que los gatos se vuelvan incontrolables, Danner les envenena."
676,El fruto es una cápsula elipsoide.
677,"Finalmente, fue cedida al concejo de Sevilla como realengo."
678,El asesino regresa al camión y huye rápidamente.
679,El NiO es un versátil catalizador de la hidrogenación.
680,"Las turbinas del ""Mauretania"" fueron desmanteladas."
681,Estos hermanos dieron origen al diluvio con sus querellas.
682,"La pareja tiene dos hijos, Carrie Ann y Matthew."
683,Debutó con este equipo en la euroliga.
684,"Se le conocía como ""Baby Shaq""."
685,Todos los niños se reúnen directamente debajo de la piñata.
686,La primera denota una cueva en el sentido geográfico.
687,La zona aterrazada tiene unos treinta metros de anchura.
688,"La palabra chechena ""nart"" tiene este sentido."
689,Estudió teatro en la Universidad de Pittsburgh.
690,No es una norma del poder constituyente.
691,"Príncipe sueco, duque de Finlandia."
692,Es utilizada en síntesis orgánica como precursor de diversos compuestos.
693,Se basa en la novela homónima de Robert Cormier.
694,Es difícil establecer la identidad de estas señales.
695,De las ramas salen unas flores blancas.
696,Es el único ejemplar de mezquita conservado en la provincia.
697,Era esencialmente una versión militarizada del Aeronca Champion.
698,Shaak-Ti resultó derrotada y por consiguiente se suicidó.
699,Lawson actuó en muchos espectáculos de talentos cuando era joven.
700,Fue conocido deportivamente con el sobrenombre de Loren.
701,No habrá perdón ni misericordia hasta entonces.
702,Sostiene al niño desnudo sobre su rodilla izquierda.
703,La serie incluía varias arquitecturas de procesador incompatibles.
704,Sea uno de los primeros edificios principales.
705,Algunas de sus obras están traducidas al castellano.
706,Se especializa en la familia botánica Asteraceae.
707,"El anuncio se titulaba ""Dance""."
708,Hay dos pequeños pasillos abovedados de hoteles.
709,Será operada por el Los Angeles County Metropolitan Transportation Authority.
710,Peñaranda construyó una obra intuitiva y psicológica.
711,Para una bobina o inductancia es denominada reactancia inductiva.
712,Es un afluente del río Yukón.
713,"Permite realizar comparaciones entre secciones, tiendas y empresas."
714,Su fiesta se celebra el último día del año.
715,Juega como Centrocampista en los Estudiantes Tecos.
716,Es afluente del río Carcarañá.
717,"Durante siete años, es profesor de elocuencia y abogado."
718,Neumann siempre se distinguió por su defensa del repertorio checo.
719,Es el canal hermano de History.
720,Produce un color naranja característico.
721,Se hiela normalmente de diciembre a abril.
722,Estas islas son agrupadas juntas como una conveniencia estadística.
723,La sede estaba en Antequera.
724,La ermita posee coro y camarín de la Virgen.
725,Este álbum logró disco de oro.
726,Sus hojas son utilizadas como una bebida en Vietnam.
727,Un cuerno más pequeño surge de la cabeza.
728,"De hecho, los zulú arrasaron con ese asentamiento."
729,El centro administrativo es la ciudad de Beaufort-Wes.
730,Entró en la misma universidad que Shindo.
731,El turismo sólo es posible con autorización militar.
732,"Ambos volúmenes están separados en varios ""Cuentos perdidos""."
733,Jugó además por el Sporting Cristal y Sport Boys.
734,No sucede lo mismo en Spyro.
735,Es reconocida principalmente por tener una sociedad interna.
736,Para justificar esto se parte del teorema de Cantor.
737,La figura representa las seis primeras etapas de la construcción.
738,Nace en la ciudad de Nueva York.
739,Al siguiente año ingresa al grupo local Cerbero.
740,Un brazo robótico aparece de repente para apagar la vela.
741,El film es una coproducción mexicano-estadounidense.
742,La canción recibió críticas divergentes por parte de los críticos.
743,Coyote figura prominentemente en varios mitos sobre la creación.
744,Las estaciones están listadas de este a oeste.
745,El primer título europeo de la historia fue por Checoslovaquia.
746,El cable de tierra es siempre verde.
747,Solamente cuatro llevan fechas autógrafas.
748,Una gran criatura ataca a la Nación del Fuego.
749,Su lectura es satírica y moralizante.
750,Se presentó a numerosos campeonatos nacionales.
751,Asistió a las fundaciones de Guayrá.
752,"Ellos se establecieron en Haverford, Pensilvania."
753,"Produciendo al mismo tiempo, un proceso de urbanización creciente."
754,Su sepelio constituyó un acontecimiento nacional.
755,La canción resultó enormemente popular.
756,Hijo de Emilio Fuster y Dominga Roy.
757,La gira cuenta con las actuaciones de varios invitados especiales.
758,Juega como centrocampista en el Ferencvárosi.
759,Mark Hanson es el obispo presidente actual.
760,El espectáculo taurino se estaba haciendo cada vez más popular.
761,El uso de estas denominaciones es incorrecto.
762,"Su lema es ""Siempre para arriba""."
763,Situaba estos signos en la Edad del Bronce.
764,Era hijo de un panadero.
765,La frecuencia de tal repetición puede ser regular o irregular.
766,El nombre describe el disco en sí.
767,En Italia podemos encontrar como mayor exponente a Giacomo Leopardi.
768,Come organismos bentónicos y detritus.
769,Curvas simplificadas utilizan tan sólo tres de estas temperaturas.
770,El comercio del mundo antiguo era almacenado en Tiro.
771,La escena del puente tuvo lugar en el río Harrison.
772,Varias personas famosas perdieron sus vidas en el accidente.
773,"Y la serie, pues es otra cosa."
774,A ambos lados del castillo hay colinas boscosas.
775,Estos se fueron y el prisionero fue de nuevo maltratado.
776,La sinagoga fue construida en el estilo morisco-bizantino.
777,La reemplazó la actriz Edda Díaz.
778,Trabajó mucho con el actor Gösta Ekman.
779,"Le sucedió su cuñado, Dedo."
780,Hoy en día cuenta con representantes de muchas más naciones.
781,El sitio se encuentra abierto como atracción turística.
782,Se localiza entre el cabo Flannery y la punta Herd.
783,El resultado se decidió mediante un jurado y el televoto.
784,Estudió en la Universidad de Columbia.
785,Empezaron a producir bajo el nombre de Jiva.
786,Tiene lugar entre diciembre y enero.
787,"El apellido ""Moberg"" es de origen sueco."
788,Así que encargaron a Beck desarrollar una serie completa.
789,"Normalmente se usa en forma de aglomerados, formando paneles."
790,Todas las letras escritas por Eddie Vedder.
791,Los pertenecieron a la suaba Casa de Zähringen.
792,Su deslinde oeste es el río Hudson.
793,Su verdadero nombre es Lynn Maxwell.
794,En parejas y en danza se realizan elevaciones.
795,Allí decidió entrar en el Seminario Conciliar.
796,Un ejemplo claro sería la Misa cristiana.
797,El evento fue conducido por Verónica Salas.
798,El anillo coralino tiene una gran extensión de cocoteros.
799,No se encuentran utilidades farmacológicas.
800,"En San Miguel de Azapa, aún viven sus descendientes."
801,Produce flores amarillas en noviembre.
802,Los caracteres chinos y los kanji japoneses son ideogramas.
803,Actualmente juega en el Bursaspor.
804,Su alineación de pines es vertical y horizontal.
805,La velocidad le sirvió como ventaja para ganar ambas veces.
806,Se encuentra localizado en San Miguel Petapa.
807,Los otros dos pertenecen a Bob Pettit y Lou Hudson.
808,El otro hijo Thomas se convertirá en un pintor.
809,El cráter Wallace se haya hacia el oeste.
810,Sirvieron como campaña de márketing viral para promocionar el juego.
811,Juega como centrodelantero en Belgrano de la Primera B Nacional.
812,Ellos fueron los primeros jugadores en confirmar su participación.
813,Ninguno de estos artistas había sido testigo presencial del evento.
814,En vuelo las alas se ven redondeadas.
815,Se encuentra en Asia y Oceanía.
816,Se encuentra en la Isla Santa Helena.
817,La aplicación de Fotos adquiere nuevas funcionalidades con esta versión.
818,Este ataque es detenido por Curtis Manning.
819,Cada erupción dura de algunas horas a varios meses.
820,Generalmente se realizan dos perforaciones.
821,Se crió en su ciudad natal.
822,Durero nunca pintó alfombras orientales en sus obras.
823,De orígenes sencillos nació y creció en Mannheim.
824,Obtuvo la Concha de Plata.
825,Fue el último filme de Amalia Sánchez Ariño.
826,Estos jardines se encuentran contiguos a los de Villa Amelia.
827,Tony Atlas actuaba como su compañero.
828,Destaca el ferrocarril minero y las instalaciones.
829,Son los únicos modelos de autobuses que el simulador dispone.
830,Otros expertos no están de acuerdo con esta interpretación.
831,"Regresa a Santander, donde comienza su carrera artística."
832,Es hermano menor del jugador Iván Amaya.
833,Tienen los bordes dentados y sin tallo.
834,El dinero recogido servía para costear la fiesta.
835,"De ellas, seis consiguieron obtener escaños."
836,Pero la fórmula molecular tampoco basta.
837,Posee diversos premios y galardones relacionados con su labor.
838,Su semblante es tranquilo y angelical.
839,Fue formado en las reservas del Club Deportivo Olimpia.
840,La princesa Elena Victoria nunca se casó.
841,"Timberlake emitió sus disculpas, pero Jackson se negó."
842,Los medios asiáticos posteriormente fueron vendidos.
843,Como resultado Atahualpa fue apresado en un palacio de Cajamarca.
844,Ambos vídeos fueron dirigidos por Clive Richardson.
845,La exposición fue inaugurada por el presidente Grover Cleveland.
846,El inventor ruso utilizó un filamento de carbono.
847,En política trabaja como independiente.
848,"Tuvo un papel en la película ""Rancid""."
849,Es arquitecto por la Universidad Autónoma de Nuevo León.
850,Y el ganador asciende directamente a la Premier League.
851,En la actualidad reside en Miami.
852,El pico es esbelto y hidrodinámico.
853,Esta teoría va a contracorriente de la Ilustración.
854,Fue sede del Juego de Estrellas ese mismo año.
855,Es mejor dar envidia que pena.
856,El Plioceno aparece representado por arenas y calizas.
857,Fue ampliamente alterado por una mano posterior.
858,A ambos lados hay un zócalo pintado.
859,Todas estas decoraciones se han retirado o instalado en museos.
860,Se crió en el exilio.
861,Se mide conectando un voltímetro a los dos electrodos.
862,"Calígula, emperador del Imperio Romano."
863,Solo al día siguiente procedieron a tomar prisioneros.
864,El acero es por lo general cromado.
865,Existen muchos ejemplos que ilustran lo anterior.
866,Su fachada significa todo lo que hay a su alrededor.
867,Algunas de sus canciones alcanzaron gran popularidad en su momento.
868,Estos modelos están principalmente dirigidos al mercado civil estadounidense.
869,Estos dos últimos fueron co-escritos y producidos por Phil Spector.
870,Se utilizó agua del río Jordán.
871,En la actualidad reside en Chicago.
872,La semilla tiene un tegumento duro.
873,Sus fiestas y conciertos anuales se convirtieron pronto en leyenda.
874,"Esta lista, sin embargo, muestra la numeración americana."
875,"Es una localidad eminentemente turística, conocida por sus playas."
876,Consiguió cuatro medallas en competiciones internacionales con Checoslovaquia.
877,Las hembras son ligeramente más grandes que los machos.
878,"Además, recibió otras lesiones menores que causaron mucho dolor."
879,"Músico, productor musical y activista colombiano."
880,Una interface puede ser implementada por múltiples objetos.
881,Dicho encuentro dio lugar a un rápido noviazgo.
882,La razón es que el azúcar disuelve las proteínas.
883,Chapman salió mal parada del enfrentamiento.
884,Tras el cabecero está la sacristía.
885,Hubo varios grupos dentro de la civilización Atlante.
886,Ayudado por el vicario Don Juan Jesús.
887,Es la capital del Distrito de Weißenburg-Gunzenhausen.
888,Estudió en la School of Visual Arts de Nueva York.
889,Logró escapar de prisión y fue obligado a abandonar Rusia.
890,"A pesar de estas cuestiones, la fundación prevista procedió."
891,Se encuentra en la municipalidad de Al-Salihiyah.
892,Las opiniones sobre la obra de Crumb están muy divididas.
893,De ideas republicanas evolucionará hacia posiciones más izquierdistas.
894,"Generalmente sin tierras, debían alquilar sus servicios."
895,El programa The Disney Afternoon emitió más tarde una reposición.
896,Desde muy temprana edad demostró su pasión por lo artístico.
897,Comenzó como suplente però fue ganando titularidad.
898,Trece murieron al no poder resistir la tortura.
899,Crece mejor en los suelos rojos profundos de Victoria.
900,La siguiente etapa de su formación tuvo lugar en Francia.
901,Su objetivo era elaborar un sistema supremo de autodefensa.
902,Estudió en la Universidad de Jena.
903,La detección del gravitón experimental es una tarea bastante problemática.
904,"La despiden, pero encuentra otro trabajo."
905,La energía es un concepto mucho más sencillo e intuitivo.
906,En su primera temporada con este equipo gana una Liga.
907,Sería internacional con la selección española en las categorías inferiores.
908,Estuvo casado con Matilde Valle Benítez.
909,Tuvo popularidad a nivel nacional e internacional.
910,A mediados de los años ochenta comenzó su propio negocio.
911,Padre de Julio Londoño Paredes.
912,Esto provocaba que el lugar fuese una verdadera Zona roja.
913,"Por ello, compone un verdadero poema nacional."
914,Todo el combate no duró más de unas dos horas.
915,Alberga los mayores glaciares del continente europeo.
916,El álbum fue producido por Rob Cavallo.
917,La infancia la pasó en el Colegio Escorial de Vich.
918,No presta servicios de ningún tipo.
919,Fue restaurado y remodelado en la Edad Media.
920,Fue enterrado en el cementerio de Binghamton.
921,Esta fuerte oposición abocó al proyecto a su fracaso.
922,Posteriormente se adoptó en otros muchos países.
923,"Por su presencia, atraen bendiciones a quienes los aman."
924,"Se distribuye por Kenia, Zaire y Tanzania."
925,Existen dos formas de ser realizada.
926,Stossel ha escrito tres libros.
927,La lista de sus predecesores varía entre los distintos relatos.
928,El bulbo luego entra en dormancia hasta fines del verano.
929,Él es un ciudadano italiano.
930,Tras tres temporadas el equipo capitalino volvía al fútbol regional.
931,En sus páginas fueron frecuentes las colaboraciones de numerosos autores.
932,Los canales de Lambert están tapizados con epitelio bronquial.
933,Maynard escribió en su último mensaje de Facebook.
934,Administrativamente pertenece al estado federado de Carintia.
935,Se convirtió en obispo de Constanza.
936,Deng y Zhou no tuvieron hijos propios.
937,En el Club hay jugadores campeones de España.
938,"Cuando Chika visita, ella se viste como mayordomo masculino."
939,Separa y emplea las dos últimas líneas del Sanctus.
940,Consiguió dos medallas en competiciones internacionales con Yugoslavia.
941,Los Saracens se deshicieron del equipo en semifinales.
942,El último clasificado será descalificado del concurso.
943,Realizó sus estudios secundarios en el Colegio Nacional Central.
944,Generalmente se expresa en Hz.
945,Fue enterrado en el Cementerio de Villiers-sur-Marne.
946,Las críticas recibidas fueron en su mayor parte positivas.
947,Cuenta con la producción de Damian Taylor y Justin Parker.
948,Escritor y experto en ayuda humanitaria.
949,Posteriormente participó en sus primeros Juegos Panamericanos.
950,La película relata alternativamente cuatro historias de injusticia.
951,Desde entonces ha lanzado seis álbumes de estudio.
952,Esta fue la primera participación mundialista de Zidane.
953,Quizás porque los primeros cuartetos cantaron precisamente A Cappella.
954,"Por primera vez en España, el voto fue secreto."
955,Scott Haley es un atleta.
956,Otra manera parcial es la extirpación por corte del pene.
957,Ahí se dedicó intensamente al cultivo del nogal.
958,Fue su debut en el automovilismo profesional.
959,Sean decide que Dave no tiene relación con el crimen.
960,La cabecera del condado es Mount Sterling.
961,Lo señalaban como un volante con gol y personalidad.
962,El disco comporta solamente flósculos.
963,Vive y desarrolla su carrera literaria en Western Massachusetts.
964,Su sede ha sido la ciudad de Balaguer en Cataluña.
965,Hijo del ex futbolista Horacio Parham Castro.
966,Allí pone una academia de corte y costura.
967,La sede del condado es Thomson.
968,Actualmente juega en el Newcastle United de la Premier League.
969,Mitchell una vez más siguió el Darling hasta su fin.
970,Ned y Laura se casan unos cuantos días más tarde.
971,Participó en la Guerra del Paraguay.
972,De buen rendimiento productivo y periodo de cosecha prolongado.
973,Esto da como resultado cielos nublados y considerable llovizna.
974,En este torneo jugó un partido contra Croacia.
975,Era hermano del actor Dana Andrews.
976,En su hábitat natural florece en primavera y verano.
977,"Desde niño, Juan Villoro ha sido aficionado al fútbol."
978,Es una hierba de vida corta.
979,Su curso comporta numerosos meandros.
980,Su señal fue reemplazada por el canal For Man.
981,El resto de los candidatos quedaron con un solo dígito.
982,"Eran recolectores, y pescaban salmones."
983,Se encuentra en el distrito de Krishna.
984,Mussolini fue un líder que marcó Italia.
985,Existen muchas monedas privadas emitidas por organizaciones o negocios privados.
986,El equipo transalpino se reserva una opción de compra.
987,Más tarde fue entrenador asistente en el Maccabi Tel Aviv.
988,"Su ingestión produce irritación gástrica, vómitos y diarrea."
989,"Albert Gallatin nació en Ginebra, Suiza."
990,Allah ama a los justos.
991,"Su primera aparición fue en ""The Hard Goodbye""."
992,El único instrumento disponible era un piano de cola.
993,"Su cuerpo fue trasladado a su país natal, Angola."
994,Este byte fue utilizado como el carácter de nueva línea.
995,Suele colonizar las paredes verticales del arrecife expuestas a corrientes.
996,Este grupo está asociado con el movimiento del kibutz unificado.
997,Todo para ahondar la brecha entre ellos.
998,Está situado en un valle interandino rodeado de mucha vegetación.
999,Su madre fue la Princesa Elena de Waldeck y Pyrmont.
1000,Falleció tras padecer cáncer de hígado.
