,sentence
599,Narius anteriors tubulars a cada costat de l'extrem del musell.
600,Dissabte en Quer vol anar al teatre.
601,Tot i que en aquella època no estaven tan esteses.
602,Li fa l'efecte que els cal una mica de silenci.
603,Ho hauria d’autoritzar el president de la cambra.
604,Actualment és secretari d'acció exterior de la Junta d'Andalusia.
605,També té una rica fauna.
606,Ciceró el va recomanar a Cèsar.
607,El deu d'agost en Marc anirà a visitar mon oncle.
608,El comerç es feia principalment amb el Sind.
609,Els més informats ho comenten amb els altres.
610,Destaquen les baranes de ferro dels balcons i finestres.
611,El calb ha perdut el gos.
612,L'aqüicultura és una indústria emergent als pobles costaners.
613,El deu d'agost na Gina vol anar al metge.
614,Comencem utilitzant el llindar superior per trobar l'inici d'una aresta.
615,"Carrer aproximadament rectilini, amb un trencall i dos eixamplaments."
616,Va estudiar treball forestal a la Universitat de Frankfurt.
617,Dissabte na Núria i n'Hug aniran a visitar mon oncle.
618,Demà passat n'Oriol i na Sança volen anar al cinema.
619,Dijous na Cora i en Pau aniran a Cabrils.
620,La rebuda va congregar una gran multitud.
621,T'asseguro que l'estampa és xocant.
622,"Qui amb cames d'altri camina, d'enfora tot ho afina."
623,Dissabte na Carla i en Blai aniran a la biblioteca.
624,És part de la gran entitat administrativa anomenada Divisió d'Indore.
625,Presons que remeten al món del futbol.
626,Quin soroll fa el gos?
627,Apaga el rentaplats a les dotze.
628,Demà ma germana va a Vilanova de Sau.
629,Quin any va néixer Diego Colón?
630,Fèlix Oliver treballà també com a pintor decoratiu.
631,El telèfon no para de sonar.
632,A quina hora passa el primer autobús per Alió dijous?
633,Dijous na Beth vol anar a la biblioteca.
634,I hi ha unes quantes hipòtesis cabdals.
635,Va fer els estudis al Conservatori de Praga.
636,T'enviliràs a la vila de santa Teresa.
637,Què hi ha al carrer Viladecavalls cantonada Ardena?
638,Altres companyies estaven interessades en el diari.
639,"Les golfes, afegides, són fetes d'obra i arrebossat."
640,En aquesta zona s'han trobat jaciments de gas.
641,Extrem que els ocells agiten per enlairar-se.
642,Això el va posar en contacte amb la història.
643,Dijous na Mariona anirà a València.
644,"En aquest període, havia gravat seixanta alfabets."
645,Anna Surinyach és una fotoperiodista nascuda a Barcelona.
646,No s'hi va presentar cap demòcrata.
647,Els noms Iwerne Courtney i Shroton tenen una llarga història.
648,El vint-i-tres de maig en Damià anirà d'excursió.
649,Uns canelons molt ben gratinats.
650,Hi ha algun lampista al carrer de Brussel·les?
651,"Va néixer a Victòria, Columbia Britànica, Canadà."
652,Entre els jugadors habituals la notícia cau com una bomba.
653,El nou d'octubre na Gina anirà a la platja.
654,"Quan pressiona l'arrel, es produeixen lesions neurològiques."
655,Que continueu gaudint del pont.
656,"N'és un representant als Països Catalans, el torlit."
657,Com van els tràmits per poder obtenir el visat?
658,Dema aniré a Sant Llorenç d'Hortons.
659,És quan xuta que perd el cap.
660,El model d'elecció indirecta s'aplica indistintament als països democràtics.
661,Un cop acabada la floració es recull per ser consumida.
662,Per Cap d'Any anem a visitar mon oncle.
663,Per aquest motiu la campana fou temporalment despenjada.
664,També tenia ramaderia ovina i aviram.
665,En alguns casos també canvia el timbre de la nota.
666,Dissabte na Neida anirà al teatre.
667,Dilluns en Gerai i na Sança aniran a Cabacés.
668,El seu argument és senzill i atractiu.
669,Està agermanada amb la ciutat de València als Països Catalans.
670,Els col·legis electorals són tota una altra incògnita.
671,És de color marró pàl·lid.
672,Aquella batucada al cul devia fer mal.
673,El Centre Agrícola era la societat dels propietaris rurals.
674,"Sèpals triangulars, de color castany."
675,Encara perviu a l'illa l'ús del crioll espanyol.
676,Demà na Nina anirà a la platja.
677,Els britànics varen respondre de seguida amb detencions en massa.
678,Has vist quins pantalons m'he comprat?
679,Divendres na Sol i en Marc aniran a Montcada.
680,Quantes peces de fruita has menjat avui?
681,El deu d'agost en Julià anirà a Colldejou.
682,Demà en Biel i na Clara aniran al Villar.
683,Per Cap d'Any en Biel anirà d'excursió.
684,Açò ha deslligat diverses llegendes urbanes.
685,El deu d'agost na Mariona va a Rabós.
686,"Com a resultat, va ser exclòs durant sis mesos."
687,No hi va haver segregació dels reclusos.
688,Dimarts en Mateu va a la Quar.
689,Esbravava el seu dolor plorant.
690,Dissabte na Nit i en Sam aniran a Tornabous.
691,"Les coses d'aquest món, verdes i madures són."
692,Encara avui en dia és una lectura escolar.
693,Treure-li la cera de les orelles.
694,Els herois acostumen a reflectir la filosofia zen.
695,Aquesta desviació arriba fins al Corrent d'Agulles.
696,En aquest moment no hi ha cap decisió presa.
697,Harmònicament també es considera una consonància perfecta.
698,Afrontat com un bergant de bosc.
699,La causa és un virus filtrable.
700,Aquest és un cas particular del principi d'indeterminació de Heisenberg.
701,El mas està ubicat just al límit del sòl urbà.
702,"Les taques de l'honra, el sabó no les renta."
703,Diumenge en Gil anirà a Carcaixent.
704,Va residir uns mesos a Barcelona.
705,Que presenta un esquelet gros.
706,Diumenge na Blanca anirà a la platja.
707,Fou membre també del Parlament Europeu.
708,Què és el que vol modificar?
709,Els murs són de carreus més o menys regulars.
710,Per la no discriminació lingüística.
711,Era molt barat! Només un parell d'euros!
712,"Uns dies més tard, va ser arrestat de nou."
713,Aquesta reacció es fa en un medi aquós.
714,"Està cobert amb un terrat, que no és original."
715,Vas poder negociar un preu reduït?
716,Andreu Missé i Ferran és un periodista nascut a Barcelona.
717,"Pels europeus però, era relativament benigna."
718,Programa la ràdio del rebedor.
719,Crec que hi haurà referèndum.
720,Llavors la casaren amb Conrad.
721,A l'agost fou nomenat director del Ministeri d'Afers Estrangers.
722,Va ser reubicat per la construcció del ferrocarril.
723,"D'hàbits monògams, defensen el seu territori."
724,La mascota oficial del club és un mosqueter.
725,"L'empresa té la seva seu a Atlanta, Geòrgia."
726,Quan apareixen a la Terra els mars de calcita?
727,"Moore va néixer i créixer a Baltimore, Maryland."
728,Ara produeix vi i roba de llana.
729,Dissabte na Sol i en Roger aniran a la biblioteca.
730,Els actors de Harry Potter van assistir al seu funeral.
731,Fou un escriptor suís en llengua alemanya.
732,Hi ha poques diferències entre els diferents dialectes.
733,"Terra negra, bona per sembrar."
734,Lund va ser membre fundador dels petits.
735,Opinió contraposada als Evangelis i a la tradició cristiana primitiva.
736,"Va tornar a la ciutat natal, Barcelona."
737,La meva dona no vol planxar-me les camises.
738,"I el conglomerat dels seus socis, tampoc."
739,Divendres na Queralt anirà d'excursió.
740,Aquestes tortugues són de closca tova.
741,"Llavors, els nens van desaparèixer a la selva."
742,Es considera normalment una superstició.
743,Ha treballat com a graduada social i administradora de finques.
744,"Es troba a Costa d'Ivori, Ghana i Nigèria."
745,No pensen sinó a solaçar-se.
746,"A més, en aquests casos poden fer rebaixes tributàries."
747,Però aquesta demarcació no és prou segura.
748,Cúmul d'elements favorables al president de la Generalitat.
749,La mortalitat disminueix a mesura que augmenta l'edat.
750,Cridar com un corb en plena jornada castellera.
751,El nou d'octubre na Joana vol anar al teatre.
752,Recentment han estat descobertes algunes pintures fetes per Caterina.
753,Dissabte en Marc i na Laura aniran a la biblioteca.
754,L'aixecada sol anar acompanyada d'un espectacle o cercavila.
755,Quins aspectes no va apreciar el públic?
756,El vint-i-tres de maig en Roc anirà d'excursió.
757,A quina hora passa el primer autobús per Estivella divendres?
758,Està associat amb Sant Jordi a la regió de Bahia.
759,Va ser una sorpresa per a mi.
760,A la vora s'hi cultivava arròs.
761,A l'estiu de vegades el riu s'asseca.
762,La idea d'un cop d'estat ja estava madura.
763,Lillywhite va deixar de pagar el seu deute.
764,El parament romànic és de carreus petits i rectangulars.
765,Li agrada el vi negre.
766,No tinc cap dubte que està terriblement disgustada.
767,A El Ràfol d'Almúnia hi ha estació de tren?
768,L'alemany aspira les oclusives sordes.
769,La seva capital estava a Pavia.
770,Menjar-se els queviures que altres persones necessitaven.
771,Dilluns na Queralt anirà a Alcover.
772,Us estiràveu o us estireu.
773,La decoració és d'estil barroc.
774,Juntament amb l'atletisme fou l'esport que reuní més participants forans.
775,Ho pateixen força els nois de l'equip Ausiàs March.
776,L'alcàsser cremà durant quatre dies i quedà reduït a runes.
777,Com podem anar fins a Llíber?
778,Jordi Creus és un jugador de bàsquet nascut a Ripollet.
779,La Dols ha reconegut el llibre de seguida.
780,Els catalans admirem la política danesa.
781,Per un full de ruta sobiranista!
782,La perfecció absoluta no existeix fora de mi.
783,La paranoia i el dubte s'estenen.
784,Emili Prunés i Sató és un polític nascut a Manresa.
785,Demà he d'anar a Cornudella de Montsant amb autobús.
786,Demà passat na Berta anirà al metge.
787,També ha demanat silenci als mitjans.
788,Espanya serà sancionada per la Unió Europea.
789,Al club mai arribà a ser titular indiscutible.
790,Dimecres en Marcel anirà a Campanet.
791,Al segle passat era una cabana abandonada.
792,No et faria mal per res del món.
793,El nou d'octubre n'Hug vol anar d'excursió.
794,"A més de l'àrea expositiva, conté laboratoris i magatzems."
795,Sant Andreu de la Barca és un bon lloc per anar-hi.
796,La decoració va ser lloada.
797,Divendres na Dàlia anirà al teatre.
798,Fou controlada al cap d'uns anys de lluita.
799,El nou d'octubre en Bernat anirà al metge.
800,El vint-i-tres de maig na Xènia vol anar al cinema.
801,Això conclou el missatge de Crist.
802,"Té censades quatre habitants, persones ja grans."
803,El material del qual estan fetes és pedra revestida.
804,Els altres van alçar el vol entre les flames.
805,"No hi ha dret, tota aquesta repressió."
806,Fou l'actor dramàtic francès més rellevant del seu temps.
807,He d'anar al carrer dels Brocaters sense agafar el metro.
808,Va ser assassinat mentre lluitava al costat dels anglesos.
809,Trucava per cancel·lar el contracte.
810,Es va distingir cantant en els concerts.
811,Carme Torras Comellas és una artista nascuda a Manresa.
812,"Jo no li he fet res, Modesta."
813,Els ingredients bàsics són el formatge i l'all.
814,Tenen un fort sentit de la identitat tribal.
815,L'usuari demana un nou servei.
816,El castell era basat sobre un penyal.
817,"Tanmateix, a vegades són aberracions urbanístiques."
818,Furtaré el nom a en Robert.
819,José Gabriel Alonso Pascual és un ciclista nascut a Barcelona.
820,Diumenge na Sara va a Sant Joan Despí.
821,L'exterior és conopial i les tres interiors apuntades.
822,Que no té cap mena de senderi.
823,Josep Gomis i Martí és un polític nascut a Montblanc.
824,"D'una banda era princesa i de l'altra, la fundadora."
825,Diumenge na Zoè anirà a Barxeta.
826,Vull anar al Pla de Santa Maria amb tren.
827,Ha participat en dues edicions del Ral·li Dakar.
828,Conté sis moviments i dura aproximadament quaranta minuts.
829,També se'n troba de manera massiva.
830,La seva dieta inclou també fruits i flors.
831,Quan passa l'autobús pel carrer Berlín?
832,Les seves accions innocents tindran fosques repercussions.
833,La seva cremació va ser supervisada per monjos budistes.
834,Venia gent de totes parts.
835,La bugada no es farà sola.
836,Era una casa senyorial amb finestrals gòtics.
837,"Posteriorment les emissions seran irregulars, sense horari establert."
838,Aquí en teniu el programa.
839,Posteriorment va ésser completament restaurat.
840,Els civils holandesos també van ser retinguts en aquests camps.
841,He d'anar al carrer de Jaume Pinent amb trasport públic.
842,Divendres na Neida anirà d'excursió.
843,Així que actualment realitza les dues activitats.
844,I quantes hores vols llogar la sala?
845,No cal fer tant de rebombori per amagar-se...
846,Dimecres na Clara i en Nil aniran a Binissalem.
847,Dos tes sense sucre.
848,Per Cap d'Any na Sira anirà a Càrcer.
849,Expel·lir ventositats gàstriques per via oral.
850,Què hi ha al carrer Pou cantonada Provença?
851,Alguns epigrames d'aquest poeta es troben a l'antologia grega.
852,L'acta original es troba guardada a l'Arxiu Parlamentari britànic.
853,L'administració emetrà una nova resolució de l'autorització d'emissions.
854,Línies que uneixen les ciutats d'una manera molt ràpida.
855,"Porta vestit llarg, capa i botes."
856,És el primer satèl·lit de comunicacions d'Angola.
857,"A més, el vent hi bufarà amb força."
858,El vint-i-nou de febrer na Mireia anirà a l'Albagés.
859,Nipona com la bandera del puntet roig.
860,Això s'ha espatllat: ja ho pots fotre a mar!
861,Els escriptors escriuen cartes amb preguntes per proposar idees.
862,"És originari de Mèxic, Hondures i Nicaragua."
863,"És una masia habitada, centre d'una explotació agropecuària."
864,Les dades es transmeten en datagrames.
865,Els serveis de mercaderies operen set dies per setmana.
866,Dues persones estan assegudes al camí.
867,També s'organitza un sorteig d'un pernil.
868,No es troben al Mar Mediterrani.
869,El que traça més diagonals a l'escaquer.
870,No es troba durant el període republicà.
871,L’Artur va combatre així als anglesos des de ben jove.
872,El campus va ser traslladat a Ariel.
873,Tot això va inquietar als portuguesos.
874,Diumenge na Dàlia anirà a visitar mon oncle.
875,Els dos són cosins primers.
876,Aquest és l'actual Pantà de Santa Fe.
877,Dimarts en Mateu i na Judit aniran a la Llacuna.
878,Tarragona és un bon lloc per anar-hi.
879,Dissabte en Quel anirà a visitar mon oncle.
880,Què hi ha al carrer Brussel·les cantonada Miracle?
881,Demà passat en Roger anirà al cinema.
882,Demà en Martí i na Clara aniran a Alfés.
883,Ells farien la revenja quatre anys més tard.
884,Demà en Jan i na Sança aniran a Parlavà.
885,El seu germà Pierre també fou futbolista.
886,Pot ser extret com a mena del metall de níquel.
887,És un dels més grans de la província.
888,Des de llavors van romandre lleials a Esparta.
889,És popular com a planta ornamental.
890,Dissabte na Carla anirà a Torà.
891,Què venen al carrer dels Tres Llits número cinquanta?
892,Jo vaig tornar al meu lloc del terrat.
893,Vaig als jardins de Rosa Luxemburg.
894,Feinada de por que caracteritza la població activa.
895,La façana principal conserva finestres amb brancals de pedra.
896,Una característica és que ha de dur carn o peix.
897,Les llums es carreguen a la mateixa estació.
898,"Quinze anys després, l’escenari es repeteix."
899,Deu haver sortit a fumar.
900,Mentre s'allunyava em va venir un rot agre.
901,El seu hàbitat natural són els boscos tropicals perennifolis.
902,Absència de tentacles als maxil·lars.
903,Va començar venent televisors a domicili mentre estudiava ciències econòmiques.
904,Si suques el pa amb tomàquet t'enllepissaràs les mans.
905,"Vols dir que no ho sap, ja?"
906,Però encara no sabem per què ho va fer.
907,Els diputats han pogut fer els tràmits sense manilles.
908,Semblava un estat de setge.
909,Vaig als jardins de Llucmajor.
910,Els senyals de les vies dels icosanoides són complexos.
911,Parlàvem amb les boques inflamades.
912,Per Cap d'Any na Tura anirà a Son Servera.
913,Els primers set comtats van ser després reanomenats.
914,"Va néixer a Hamilton, Massachusetts."
915,Es considera l'hereu de l'equip Carrera.
916,D'adolescents es van convertir en molt bons amics.
917,Quan passa l'autobús per Sant Iscle de Vallalta?
918,En els altres districtes circulava la moneda britànica.
919,A causa de la seva educació sovint l'interrompien.
920,Això ens fa guanyadors segurs.
921,Hauria d'anar al carrer del Saüc número quaranta-u.
922,"Ase que brama, set anys més de món."
923,Totes les unitats tenen únicament seients de classe estàndard.
924,Divendres na Sança anirà al metge.
925,Llavors recluta dos assassins per eliminar la seva muller.
926,El campus satèl·lit Spring Valley ha sigut suspès.
927,"El seu pare és andalús i sa mare, catalana."
928,I això situa el debat en un nivell diferent.
929,"Menja cucs, insectes i petits crustacis."
930,L'autor tracta de l'evolució dels sons llatins en català.
931,La majoria segueixen un mateix patró.
932,Se n'exclouen els concerts adreçats al públic en general.
933,"Hi ha molts centres educatius que estan preparats, sí."
934,"Sens dubte, n'hi havia massa a l'aire."
935,"Sota aquest símbol, un sol surt darrere el globus."
936,Demà passat en Quel i na Nit aniran al metge.
937,El nou d'octubre na Bruna anirà a la biblioteca.
938,"Si tens por, compra't un gos."
939,"Faci un temps rúfol, dolent."
940,La lliga ha estat patrocinada diversos anys.
941,El vint-i-tres de maig anem d'excursió.
942,Demà passat aniran al teatre.
943,El deu d'agost na Thaís anirà a Soriguera.
944,Els segueix en les seves aventures.
945,Dimarts na Greta i en Gerard van a Bellprat.
946,Dilluns en Quim anirà a Cornellà del Terri.
947,Els britànics van enviar tropes de l'Índia.
948,Cosir els mitjons perquè no tinguin forats.
949,Un informal Consell de Caçadors resolia les disputes.
950,La nena de rosa es diverteix fent puenting.
951,El nou d'octubre n'Oriol i na Sança aniran d'excursió.
952,"Normal, però tirant a bé."
953,Se senten integrats en un entorn determinat.
954,Els carreus de la cadena cantonera són visibles.
955,Començar a caure la tarda.
956,"És un peix marí, demersal i de clima tropical."
957,És precisament l'alternança que derivà en guerra.
958,Les ombres es tornen mobles.
959,Manuel Delgado Ruiz és un antropòleg nascut a Barcelona.
960,Dilluns ens preguntaran els verbs irregulars.
961,És un sòlid entre vermell i taronja-vermell.
962,La ciutat podria ser l'emplaçament d'Antioquia a Mesopotamia.
963,És un dels asteroides propers a la Terra més brillants.
964,Els encadenats més populars són els onomàstics.
965,Immediatament en Joan s'erigí com a pretendent carlí.
966,"Emplenar, signar i guardar els documents annexos."
967,Anirem a Traiguera amb bicicleta.
968,L'estudi va ser objecte d'una forta controvèrsia als Estats Units.
969,El territori ocupat per les carreteres resulta molt gran.
970,L'emperador la va deixar sota custòdia.
971,Dimecres en Roc anirà al cinema.
972,Deixar amb un pam de nas.
973,Les llindes i muntants d'obertures són de pedra.
974,"Al tercer dia, el peix comença a envoltar l'esquif."
975,Al costat esquerre hi ha dues finestres d'iguals característiques.
976,Demà na Queralt anirà a visitar mon oncle.
977,S'admeten noves vaixelles a l'altell.
978,Ara és propietat d'una empresa privada.
979,Sent el que no sé.
980,El nou d'octubre na Dolça va a Prat de Comte.
981,El vint-i-tres de maig en Cesc anirà a Ascó.
982,Fugir com un ca llebrer.
983,La Pobla de Mafumet es troba al Tarragonès.
984,Aquests petrells pelàgics habiten principalment a l'Hemisferi Sud.
985,Córrer bons o mals aires.
986,El termenal amb Sant Martí de Centelles hi passa arran.
987,També ha rebut el nom d’herba centella.
988,No es van reportar lesions.
989,També realitzà diverses campanyes a la península Ibèrica.
990,No vull marxar a casa.
991,La disponibilitat del saldo d'un compte d'aquest tipus és immediata.
992,"Comercialment, la gira va ser un èxit."
993,Quin dia i hora el va agafar?
994,Alcoletge és un bon lloc per anar-hi.
995,Dissabte na Dúnia i en Blai aniran a Corbera d'Ebre.
996,Per Cap d'Any en Miquel anirà al teatre.
997,Però aquestes negociacions no van donar cap resultat.
998,"Li agradaven el vi, les dones i la poesia."
999,Ja tenim un pla perfectament bo.
1000,Crit del gat enfurismat que estrafà la llengua de Crist.
