index,sentence
435,Santa Maria kalean honako eraikin nabarmenak daude.
436,Oporretan egiten diren tontakeria horietako bat.
437,Sinbolikoki bandera honek Marteren etorkizuna adierazi nahi du.
438,Erregearen aurka borrokatu zen hil arte.
439,Beheko grafikoan urriaren bira arteko datuak erakusten dira.
440,"Katalanez, gazteleraz, portugesez eta galizieraz abesturiko kantuak batzen ditu."
441,"Bai, zeren gehiago identifikatzen naiz pertsonaiekin, sentimendu unibertsalagoak dira."
442,Erdi Aroan ehungintza izan zuen jarduera ekonomikorik garrantzitsuena.
443,Dragoi Bola animea telebistarako mangaren moldaketa da.
444,"Gora borroka feminista, hori izan zen Iruñeko bilkurako oihu indartsuenetakoa."
445,"Perkusioa ikasi zuen Parisko Kontserbatorioan, eta orkestra-zuzendaritza gero."
446,"Hori ez da haginak garbitzeko eskuila, amaren orrazia baizik."
447,"Gaztelua ez zen berreraiki, eta, ondorioz, hondakinetan geratu zen."
448,Hiri nagusiak izen bera du.
449,Arroak petrolio eta gas natural depositu handiak ditu.
450,Lehen greziar idazleek Sibila bakarra aipatzen dute.
451,Lehen urteetan zaila izan zen trenbidea eraikitzeko inbertsioari buelta ematea.
452,Toki horien inguruan kondaira asko sortu dira.
453,"Behin hori adostuta, zer egin behar den oso teknikoa da."
454,"Guztiarekin ere, hil ondoren, independentziaren heroitzat hartua izan zen."
455,Erabakien onespenerako nahikoa dute gehiengo sinplea.
456,Abiadura Handiko Trenaren proiektuak joa dago.
457,Epaile pribatuek honela menderatu dute estatua.
458,Hitzaren etimologia ez dago oso garbi.
459,"Erromes-maskor handiaren antzekoa, Galizian oso preziatua da jateko."
460,Zer iruditzen zaizu Belakok egin duen azkena?
461,Gerra finantzatzeko erabili zituen talde islamistak pilatutako baliabideak.
462,Ekialdeko fatxada asimetrikoa da eta hiru gorputz desberdinek osatzen dute.
463,Pobrezia mota honek oztopatu egiten du ekonomia eta gizartearen garapena.
464,"Hain zuzen ere, izen berdineko Forondako atea kalean kokatua dago."
465,"Honek, gainera, harresiaren ateetako bi lotzen zituen."
466,"Hitzartutako ezkontza izan arren, aski senar-emazte zoriontsuak izan ziren."
467,Nahasketa horri azukrea edo edulkoratzailea ere gehitu ohi zaio.
468,"Aita aldetik errusiar-judutar jatorria du, amaren aldetik berriz jamaikar-afrikarra."
469,Ezaugarri hauengatik segurtasun arloan erabiliena bilakatu da.
470,Lan horrek ere Euskal Herrian oihartzun txikia izan zuen.
471,"Bere testamentuan, erlikiak gurtzeko baseliza bat eraikitzea eskatu zuen."
472,Bigarren Mundu Gerrako zerbitzuek ospe handia ekarri zioten.
473,Dena albo batera uztearen izenean?
474,Bestalde Europan populatu gabeko eremu handienaren atea da Kiruna.
475,"Baina, egitura hori ez da bat-batean eskumenez osatuko."
476,Orain arte eraikitako lan guztiak Australian egin ditu.
477,Lehen solairua bizitzeko solairua da.
478,"Tomas, bere semea, musikagile eta zuzendaria da orobat."
479,"Udalerriaren topografia oso malkartsua da, gorabehera askorekin."
480,Nolako harremanak eraiki elkarren artean?
481,Margolan hau Madrilgo El Prado museoan da.
482,"Laster, hirugarren etapa, maglia arrosa janztea lortu zuen."
483,Haren idatziek informazio ugari eman dute budismoaren lehen garaiez.
484,Jatorria etxeen eta jauregien arkitekturan du.
485,Gerra multzo honetan kokatzen da Konbentzioaren Gerra.
486,Basauriko saioa lehenengo finalaurrekoa izan zen.
487,Eskasten ari da pinu beltza.
488,Antiguo auzoan eraiki zuten El Leon fabrika.
489,"Aurpegi, esku eta hanketako ileak beltzak ditu; gainerakoa horixka da."
490,"Saxoniako Polizia, Saxoniako Barne Ministerioak kudeatzen du."
491,Ordutik mendi sakratua izan da.
492,Bertako zuzendari eta irakasle izan da sortu zenetik.
493,Udal hauteskundeak baino bi egun lehenago egin zen.
494,"Nabigatzaile hori gaztelaniaz erabili behar zen hasieran, halabeharrez."
495,Parisko Komunako kide izan zen.
496,"Etxe-zahar hau, Erdi Aroan, apezpikuaren erresidentzia izan zen."
497,Kale honen inguruan honako eraikin eta leku nabarmenak daude.
498,"Artxiboetan, gainera, ez da horien arrastorik aurkitu."
499,Gerra Zibilean bertatik pasa ziren erbestera zihoazen hainbat errepublikano.
500,Pirinio eta Alpeak ohiko lekuak dira Europa mailan.
501,"Abside hirukoitza du, arkuekin apainduta."
502,Zaude segur euskarak iraunen duela.
503,"Argitaratu zen astean, Espainiako disko salduena izatea lortu zuen."
504,"Hasieran kargua behin-behinekoa izan zen, gatazkaren bat zegoen bitartean."
505,"Berez, armarria azteken kondaira batean oinarrituta dago."
506,Haize horrek dunak sortzen ditu gainazalean.
507,"Konstituzio honek eraginkorra, gardena eta demokratikoa izan behar zuen."
508,Auziaren oihartzuna ere ez zen makala izan.
509,Badira aldi baterako erakusketak ere.
510,"Gertaera haren ondoren, haren karrera ez zen askorik luzatu."
511,Nahiko handi eta iluna da.
512,"Soldatarik ezean, langile atzerritarrek ihes egin zuten."
513,Kanpoaldean sinbolo erlijiosorik ez duen eraikina da.
514,Sekulako iskanbila sortu da zezena kafetegian sartu denean.
515,Bere olerki askok Finlandiako landa giroa erakusten dute.
516,Triangelu itxura duen eta luzetara zabaltzen den uhartea dugu.
517,Nola eman zieten egurra katolikoek protestanteei?
518,"Gerora, Madrilen, Kimika Zientzietan lizentziatu zen."
519,Eskuin hegaleko postuan jokatzen du Sansen.
520,Honetaz gain lau barruti ditu.
521,Hauteskunde hauen deialdia ere Nafarroako lehendakariari dagokio.
522,"Paperean argitaratuta, Espainia osoan banatzen da."
523,Bi mila eta hamabostean jendartea ehuntzea zuten helburu.
524,Bere erabilera jatea edo edatea izan ohi da.
525,"Erroman, Madrilen eta Parisen egin zituen pinturako ikasketak."
526,Une hartatik ekintza mota honek arrakasta izan du.
527,"Somorrostro Harana, Bizkaia, Euskal Herria."
528,"Funtsean, begi-globoko odol-uharrean oinarritzen da."
529,Ikasgeletan hamaika ordenagailu sartzea ez litzateke hain erraza izango.
530,Elizarekiko harremanak estutu eta arabiarren aurka borrokatu zen.
531,Erdilari-aurrelari moduan jokatu izan zuen.
532,"Horren ordainetan, Garaipenaren duke titulua jaso zuen."
533,Gero Gipuzkoako Ahaldun Nagusi hautatu zuten.
534,Bere bertso zuriak ospe handia eman zion.
535,Erbestean dagoenean bere izena zikinduko da.
536,"Jarduera hauei esker, bere garaiko munduko emakumerik aberatsenetakoa zen."
537,Zabalgune bakarra baino ez du puntu erdiko arku forman.
538,Ekilore olioa munduan gehien kontsumitzen den laugarren landare olioa da.
539,"Sistema ekonomikoak dira, esaterako, feudalismoa, kapitalismoa eta sozialismoa."
540,Jainkosaren identitate desberdinak azaldu dute espezialistek; hauek dira zabalduenak.
541,Urtea bukatu baino lehen platinozko hiru disko lortu zituen.
542,"Lehen bazen arriskutsua, oraingo hauek erabat moderno eta seguruak dira."
543,"Eta handik irten eta Zeanurira nahi nuen berriro, arrazoi bategatik."
544,Txiste onak kontatzen ditu mozkortuta ez dagoenean.
545,Kartagora itzuli zenean hil zuten.
546,Anaerobio fakultatiboak dira eta ez dira mugitzen.
547,"Baita ere, laborategi lanak aipatu behar ditugu hemen."
548,Idatzi iruzkinak jartzen duen tokian.
549,Eraikinak gorputz bakarreko laukizuzen itxurako egitura du.
550,"Diseinatzaileak, normalean, gero eta sendoera gutxiagoko telebistak egiten saiatzen dira."
551,Erakundeak oso eragin handia izan zuen.
552,"Osagai nagusiak barazkiak dira, askotan okelarekin prestatzen dituztenak."
553,Mendilerroan dagoen Lerga udalerriak ematen dio izena mendilerroari.
554,Aurkikuntza horiek meskitaren hegoaldean egin ziren.
555,"Erriberrin jaio arren, bost urte zituelarik Tuterara joan zen bizitzera."
556,Trantsizio zonaldea oso konplexua da.
557,Brasilgo Futbol Liga eta Brasilgo futbol selekzio nazionala antolatzen ditu.
558,"Planeta sistemaren bizitza-zonan dago, edo gertu, izarraren benetako tamainaren arabera."
559,Ostean ehunen berotzea eta sendatzea ikertzen hasi zen.
560,"Finean, sistema politiko osoa aldatu baino, eboluzionatu zezan nahi zuten."
561,Napoleondar Gerren ondoren Prusia nagusitu zen.
562,Teknika horren desabantaila nagusia kamera askeak erabiltzeko garaian ageri zen.
563,"Emeek egingo zituzten lehen sexu-hurbilketak, eta bortxaketa ez-ohikoa litzateke."
564,Errepide eta burdinbideen gune garrantzitsua da.
565,"Herriaren hegoaldeko sarreran dago, Jasokundeko Andre Mariaren elizaren alboan."
566,Eragin handia izan du poesia modernoan.
567,Magoak truko ederra egin du baina zu ez zeunden begira!
568,Santanderko traineru bat ere aritu zen ekitaldi honetan.
569,Portadaren hegoaldean dagoen fatxadako inskripzioak ematen digu ermitaren eraikitze-dataren berri.
570,"Egun, hurbilen dituen hizkuntzak armeniera eta indo-iraniar hizkuntzak dira."
571,"Beste batzuk, hotza eta egun laburrak baliatzen dituzte zikloa osatzeko."
572,Lizarrako Estatutuaren aurka aritu zen.
573,"Beste iturri batzuen arabera, hiru graduraino ere irits liteke."
574,"Atenas eta Erromara bidaiatu zuen, betiere ikasteko eta irakasteko grinarekin."
575,"Esan daiteke, beraz, kafe hori txarragoa dela eta oso garestia."
576,Famatua da bere palmondo basoa.
577,Mundu globalizatu honetan gure kultura eta hizkuntza gordetzeko tresna da.
578,Eta ez dakit nondik joan nintzen ere.
579,Metalezko aleazioak eratzeko eta zenbait prozesutan katalizatzaile gisa erabiltzen da.
580,"Ezin dut euskara erabili, zuk ez badidazu laguntzen."
581,Matxinada hau Hogeita Hamar Urteko Gerraren hasiera izan zen.
582,Hau izan zen bere bizitzako maitasun-harremanik garrantzitsuena.
583,Ipar-amerikarrek Bigarren Mundu Gerran euskara erabili omen zuten.
584,"Prozesu judizialaren aurretik, iraun bitartean eta ostean informatuta egotea."
585,Ofizialtasunak salbatuko gaituela diote euskaraz bihirik ez dakiten iparraldeko euskualdunek?
586,Baina espetxeak bere izaera aldatuko du.
587,Aurretik Buenos Airesko artzapezpikua izan zen.
588,Tito enparantzan kokatzen dira eraikin aipagarrienak.
589,Norbaitek euskaraz ez badu egiten denok gaztelaniara jotzen dugu.
590,"Ofizialki komunistak izan ziren, hogeigarren mendean, munduko estatu asko."
591,"Dena ondo egonez gero, irteerako portura bidaltzen da."
592,Eusko Alkartasuna Euskal Herria Bildu koalizioan aurkeztu zen.
593,Hiru hilabeteko tartea dute horretarako.
594,Enperadorearen gorteko margolarien familiakoa zen.
595,"Bere istorioa, Eraztunen Jaunaren eranskinetan kontatzen da."
596,Molekula hauek funtsezko zeregina bete zuten biziaren jatorrian.
597,"Gelako lurraldea, oso emankorra, mendebaldera hedatzen zen."
598,"Ondorioz, espeziea duten estatuek haren kontserbaziorako neurriak hartu behar dituzte."
599,Horren bitartez norbanakoaren sexu-ezaugarriak bere genero-nortasunarekin bat etortzea lortzen da.
600,Etxearen alokairua lan sozialaren ordainetan.
601,"Ondorioz, Frantzia iparraldean, Poliziak operazio zabal bat hasi zuen."
602,"Euskaraz igortzen du, nagusiki zubereraz."
603,Euskal Herriaren gaineko Bruselako Adierazpena sinatu zutenetakoa da.
604,Nola heldu naiz ni honaino.
605,Bezeroek sistema batetik bestera aldatzeko askatasuna izan dezaten.
606,Ministroak eta gobernuburua beren ekintzen erantzule dira parlamentuaren aurrean.
607,Larru leuna dute eta ile luze gris-marroia.
608,Batzar honetan Aste Santuaren datak zehaztu ziren.
609,Europan demokrazia ahuldu egin zen.
610,"Saio hauek telebista-saio arrunten luzera izan dezakete, ordu erdi ingurukoa."
611,Trikuharriak eta kastro herrixka zaharrak eraiki zituzten.
612,Liburu hau trilogia baten zati da.
613,"Goi Egipto, Amonen Apaiz Gorenaren esku geratzen zen."
614,Emakumezko santuari santa deitzen zaio.
615,"Hernaniko Galarreta frontoian, astero jokatzen dira erremonte partidak."
616,"Bat batean, asto bilakatuko da, bere arima gordez betiere."
617,Zigortutakoak hamar urtez utzi behar izaten zuen hiria.
618,Bigarren mailan zebilen lehenengo taldea izan zen Kopa irabazten zuena.
619,Arraunketa elkarte bezala hasi bazen ere errugbi taldearengatik da ezaguna.
620,Hona hemen egun onarturiko sailkapena.
621,Beste hainbat arrazoi daude nerbio honen kaltea eragiten dutenak.
622,Bertan aurki daiteke Oltzeko jauregia.
623,"Bilbon jaioa, Zuzenbidea eta Ekonomia zientziak ikasi zituen Deustuko Unibertsitatean."
624,Hala ere base ahula da.
625,"Egipto eta Sirian, antzerako teknika bat ezagutzen zen oso antzinatik."
626,Azken urteotan erreferentzia bihurtu da eta bisitari ugari jasotzen ditu.
627,Gure hezkuntza sistema kanpotik ebaluatzea beharrezkoa zen.
628,Errepublika eta demokrazia berreskuratu behar ziren.
629,Nola izan liteke posible horrelakorik?
630,Komuna hauek aldi berean beste hainbat auzotan banatzen dira.
631,"Antza, jokoa garaiko mahai-jolas ezagun batean oinarritu zen."
632,Lege hau Espainian eta Europan aitzindaria izan zen.
633,Landareetan agertzen diren zomorro txikiak dira.
634,Lehorrean bizitzeko arrautza garatu dute.
635,Ezker Batua-Berdeak alderdiko kidea ere izan zen.
636,"Hasieratik amaierara, oholtzako beste kideen gainetik aritu zen Bartra."
637,"Negutegi batean mota askotako aktibitateak egiten dira: erakusketak, kontzertuak, tailerrak."
638,"Zehazki, Burlata, Uharte, Sarriguren eta Mendillorri."
639,"Azpimarratzekoa da, ordea, terraza moduko solairuak eta sabai lauak dituela."
640,Bilatzailean bilatzen ari zaren hitza jarri.
641,Orduan joko zital bati hasiera emango zaio.
642,"Frantsesez, ingelesez eta alemanez idatzi zuen."
643,Barnean Gazteluko Ama Birjinaren erromaniko estiloko irudia gordetzen da.
644,Luzerna konderriak kilometro koadro ditu.
645,Bertoko txirrindularirik ospetsuenetariko bat izan zen.
646,Muturra eta hegalak beltzak ditu.
647,"Hori dela eta, debekatuta dago bere erabilpena umeetan."
648,Formazioak bi osagai hartu behar ditu aintzat.
649,"Bavaria estatuan kokatuta dago, barrutian."
650,"Hala, aurreko hilabeteetan egindako lan politikoaren traktore bihurtu zen."
651,"Deustuko Unibertsitatean zuzenbidean lizentziaturik, abokatu-ekonomialaria eta idazlea da."
652,Zaraitzu ibaiak herria zeharkatzen du.
653,"Lorearen petaloak, estiloa eta estigma lehortu egiten dira gehienetan."
654,"Gerora, futbol sekzio hori desagertu egin zen."
655,Eraikinaren alboan Euskotren Tranbiaren Europa geltokia dago.
656,"Bere izena, bere gurasoen izenen konbinaketa bat da."
657,"Boise hiriburuan, batez ere, nabarmena da euskaldunen pisua."
658,Munduko zirkuituan dabilen euskal herritar surflari bakarretakoa da.
659,Zinemara joatea liburutegira joatea baino gehiago gustatzen zait.
660,Euskaltasuna Manuel Lekuonaren bidez ezagutu zuen apaiztegian.
661,Filosofia eta Letretan lizentziaduna da.
662,Ponpa honek organismoaren zelula guztietan dihardu.
663,"Hiriko ekonomia-jarduera nagusiak, lantegiak, merkataritza, zerbitzuak eta turismoa dira."
664,Logaritmo- eta trigonometria-taula berriak eginarazi zituen.
665,"Ozeano Atlantikoaren eta Ozeano Artikoaren artean dago, Amerikako kontinentean."
666,Pertsonen arteko transmisioa oso urria da.
667,Emandako ordena batetik ordena berri bat sortzeko modu asko daude.
668,"Bere baliokidea greziar mitologian, Hefesto da."
669,Herriko eraikinik garrantzitsuenen artean San Pedroko parrokia nabarmentzen da.
670,Tontorrik altuena Anboto bera da.
671,Natura parkearen barruan lorategi botanikoa dago.
672,Ekialde Hurbilean eta Afrikaren iparraldean bizi dira.
673,Eusko Jaurlaritzako Bakegintza eta Elkarbizitzarako Zuzendaritzak agindutako.
674,Dokumentala estreinatu eta gutxira sexua berresleitzeko ebakuntza jaso zuen.
675,Txikitatik erakutsi zituen fosilak biltzeko joera eta marrazkiak egiteko gaitasuna.
676,Eska iezaiozu ikaskide bati eta irakasleari berriro zuzentzeko.
677,"Herriko jaiak irailaren hirugarren asteburuan ospatzen dituzte, Done Jakueren omenez."
678,"Laukoteak, arrakastaren gailurrean, taldea desegitea erabaki zuen, arrazoi jakinik gabe."
679,Norbaitek baliogabetu nahi bazaitu elefante zuria oparitzen dizula.
680,Erro kubo erreal funtzioa bakoitia da.
681,"Eiakulazioa bera baino, garrantzitsuena da gaitasun hori egon badagoela jakitea."
682,Apaiztu zenean Bartolomeo izena hartu zuen.
683,"Ezpatak Brontze Aroan sortu ziren, dagatik garatuta."
684,"Afrikako kolonizazioa adostu zenean, Europako herrialdeen artean banatu zen kontinentea."
685,Gaixotasun hau agertzen denean azkura sortzen da begian.
686,Euskal ahozko tradizioan ziri-bertso asko ekoiztu izan dira.
687,"Kuotak kuota, orijinaltasunaren saria merezi duzu."
688,Azken bi hauek Galar Zendeako kontzejuak dira.
689,Estudioko musikagileek jo zuten bere ordez.
690,"Bere arkitekturari dagokionez, nabarmen agertzen da paisaia barne-espazioetara erakartzeko asmoa."
691,"Bertan, industriagunea eta hainbat industria eta negozio txiki daude."
692,Etxerako lanak bai ala ez?
693,Kideak espetxeratu eta torturatu dituzte.
694,"Bertan, hirien demografia-arazoei eta garapen industrialari konponbideak bilatzen saiatu zen."
695,Gaztelaniaz idatzi zituen bere lanak.
696,Ohorezko Legioaren zalduna ere bada.
697,Barne Mongoliako eskualde autonomoaren berezko egiturak dira.
698,Auzia epaitegietara eraman zuen arren ez zuen mantentzearen helburua lortu.
699,Gerra Zibilak kalte handiak ekarri zizkion taldeari.
700,Honela esaten dira zenbakiak aldaera batzuetan.
701,"Panama, Ekuador eta Kolonbian bizi dira."
702,Gomezek Aldundiaren jokabidea salatu du.
703,"Bilbora baino lehen, handik pasatzen zen propaganda."
704,"Kanpoan, hainbat ekitaldi sinboliko egin zituzten."
705,Portua maiatzetik abendura egoten da irekita.
706,Eraikin handietan harrizkoak izan ohi dira eta eraikin txikietan zeramikazkoak.
707,Eleberriak zehar dekadentzia giroa da nagusi.
708,Egunero esnatzen garelako gaude bizirik.
709,"Gaur egun merkatuan erabilienak diren ordenagailuak, ordenagailu eramangarriak dira."
710,Ekialde Ertaineko herrialde gehienetan Bigarren Mundu Gerraren ostean aitortu zen.
711,Berrogeita hamalau urtez izan zen abesbatzaren zuzendari.
712,"Era berean, organismo bizidunetan metatzen dela uste da."
713,Hiriko zubi mendebaldekoena da eta hirigunetik urrunen dagoena.
714,Baita gizon eta emakumeen emankortasuna hobetzeko ere.
715,Ikastetxeek eta familiek jasoko dituzte txostenak.
716,Esparterok errepresio gogorra agindu zuen.
717,Afrikan soldadu zebilela hasi zen bertsoak idazten.
718,"Esaterako, altzairua bere osagai nagusia den burdina baino gogorragoa da."
719,"Hau da, bakarrik uhin-luzera batzuk neurtzeko sortua da."
720,"Parisen bizi izan zen lehenengo, Madrilen ondoren."
721,"Gure Richardek, esate baterako, aplikazio horri esker zerbait ikasiko du."
722,Goizean goiz armada karlista ere martxan zegoen.
723,Haren kokapen zehatza ezezaguna da.
724,"Arrantza, oso zabaldua dagoen ekintza da ibai honetan."
725,Garaipen bakarra du bere palmaresean.
726,Erdi puntuko hiru arku ditu eta erdikoa oso garaia da.
727,Dirudienez antzina askoz zabalagoa zen euren bizi-esparrua.
728,Eskola publikoek gainontzekoa betetzen dute.
729,"Kale Nagusian, okindegiak formatu bera izanen zuen garai batean."
730,Lehen Etiopiar ekozona izena zuen.
731,"Honekin batera doa elementu psikologiko bat, atsegin izateko borondatea."
732,Zuon iritzia irakurri nahi luke.
733,Esanahi sinboliko eta erlijiosoa izan ditu.
734,Elantxobeko portua txikia baina polita da.
735,Oso harrera eta kritika txarrak izan zituen.
736,"Erreferentziak askoz gutxiago zirenean, horiek askoz ere presenteago zeuden."
737,Danubio ibaiak eta honen ibaiadarrek bereizten dute barruti hau.
738,"Hamaika herrialdek hartu zuten parte, aurreko edizioan baino bat gehiagok."
739,Kolore zein beste hainbat ezaugarri dagokienez itxura ezberdinetakoak.
740,Zer idatzi ote dudan irailean ekin nionetik hona.
741,Baina egungo ereduaren egokitasuna zalantzan jartzen dute gehienek.
742,Gaztela eta Leongo Juntaren gaineko kontrola du.
743,Hamarratzak zortzi garro ditu eta hiru bihotz.
744,Itzulpena gehi ohar berri batzuk egin eta erregistratu ahal da.
745,Hiri osoa lehertu beharrean zegoen.
746,Bost urte geroago bigarren mailako txapela jantzi zuen.
747,Herri xehearen historia lanengatik ezaguna.
748,Londresen espainiar etorkinekin lanean ari zela sartu zen sindikatuan.
749,Andra Mari hori Serbiako babeslea da.
750,Kalifornia Beherea estatuan kokatua dago.
751,"Gero hedabideetan hasi zen lanean, irratian, kirol-kazetari gisa."
752,Hainbat euskal nahiz erdal abeslari famatu eman ditu Euskal Herriak.
753,Ondoren irakasle jardun zuen seminarioan eta Europan zehar bidaiatu.
754,Gehienbat baserri giroa burutu ohi zen.
755,Gazte-gaztetatik irakurle amorratua izan zen.
756,Turkia eta Maroko egiten ari dira orain lan zikin hori.
757,Osasunaren Mundu Erakundeak baztangaren aurka prestatutako programaren azken fasearen zuzendaria.
758,"Zure erabiltzaile izena ikusiko da, publikoa izango da."
759,"Gerraz gero, gudarosteak esku handia izan du Paraguaiko gobernuan."
760,Herriko berezko hizkuntza katalana da.
761,"Hortik dator, filmaren beste gai garrantzitsuetako bat, arrakastaren balioa."
762,"Larrua, ilea dela eta, oso aintzat hartua da jantziak egiteko."
763,Bere funtzioen artean ondokoak daude.
764,Azpijoko ugari izanen dira hura ordezkatzeko.
765,Edozeri buruz idatz dezakegula esan digu.
766,Barne Produktu Gordinaren erdia dohainik ematen diogu kapitalismoari.
767,Frantziatik herrialde askotara zabaldu zen ohitura.
768,Egin itzazu proba horiek gaseosarekin ez cavarekin.
769,"Abando auzoko Albia lorategian dago, Sabin Etxearen alboan."
770,Estrategia eraginkorra definitu eta bideratu behar dugu bestalde.
771,"Oraindik ere, dozenaka pertsona desagerturik daude."
772,Prozesuaren alderdi horrek batez ere kontrako jarrera ugari piztu ditu.
773,Ebro eta Duero ibaien haranen artean kokatuta dago.
774,Bere margolanak oso ezagunak dira mundu mailan.
775,"Heltzen denean, mamia mikatza da."
776,Pertsona batek edozein hezitzailerik gabe ikas dezake.
777,"Ama, berriz, Robin du izena."
778,Bi kazetariek Europa eta Afrika zeharkatuko dute kondearen bila.
779,Hiru barruti harresitu ditu; bigarrenak
780,Baita tximista eta trumoia harekin lotzen ziren ere.
781,Turismoa eta laborantza dira ekonomia jarduera nagusiak.
782,"Ondoren, gehien trukatzen diren dibisen izendapenak zehazten dira."
783,"Gaua da eta, etxeratzean, telebista piztu duzu."
784,Familia eta kuadrilla girorako leku txukuna da.
785,Kondairak dio golkoak urteak egunak dituen beste uharte dituela.
786,Gerra Zibila hastean errepublikaren legezkotasuna defendatu zuen.
787,Hamaika Bide Elkartearen sortzailea eta partaidea izan zen.
788,"Zubi Hau, Esne Bidearekin lotua ere izan da."
789,Bere tenplu guztiei dohaintza handiak egin zituen.
790,"Era berean, monumentu bat zaintzen ari zen soldadua hil zen."
791,Nongo janaria izan da zuretzat gustukoena?
792,Amets eta Maddalen Arzallus bertsolari ezagunen aita da.
793,"Bi taldek hartu dute parte Lehen Mailan, biak nafarrak."
794,Teknika horiei esker aurrerapen handiak egin dira maiztasun erradioaktiboen ezagutzan.
795,Bere izena jarri zitzaion zeren oinarrizko xaflaren goialdean jartzen zen.
796,"Orduan, Madrilen konstituzioa onartu zen, legez Espainia berdintzen zuena."
797,Suediak urte bateko eten baten ostean bueltatu zen.
798,"Ez da patogeno hertsia, oportunista baizik."
799,"Goizeko lehen ekitaldietatik iluntzera, jendetza bildu zen eguzki sistema horretan."
800,Bi egunetan Balmasedako herritarrek Jesusen azken orduak antzezten dituzte.
801,"Burmuina edo pankrea erakusteko, adibidez, ez dira baliagarriak."
802,"Beraz, gutxitutako hizkuntzaren hiztunak euren etxean atzerritar bihurtzen dira."
803,"Garai horretan, Estatu Batuetako hiritartasuna hartu zuen."
804,Guztiok telefonoetan argazki kamera digitalak darabiltzagu.
805,"Eraikina Dubai Marina gunean dago, hirian eraikitako kirol porturik handienean."
806,"Bere literatura-lanez gainera, lan zientifiko ugari argitaratu du."
807,Baina Satanek lortu zuen denak konbentzitzea.
808,Honako barazki hauetan aurkitzen da.
809,"Esaterako garraio publikoa, posta eta telefono zerbitzuak."
810,Erregeak Gipuzkoako Komandantzia Nagusiko ardura eman zion.
811,Egunero joan ohi zen bertara.
812,"Hala ere, honen ondoren hainbat disko kaleratuak izan ziren."
813,Handik bi urtera hasi zen orkestra-zuzendari gisa.
814,Erdi Aroan izen bereko konderriaren hiriburua zen.
815,"Ordenantza horren aurka, herri plataforma bat osatu zen."
816,"Irungo Lakaxita gaztetxean, iritsi berria informazioa irakurtzen."
817,Elizaren fatxada nagusia erromaniko estiloko da.
818,Zerrenda horri Kote Cabezudo argazkilariarena gehitu behar diogu ezinbestean.
819,Baso lehorretan bizi dira eta jarduera gauean zehar garatzen dute.
820,"Harresiaren parean zegoen, hirigunearen defentsari laguntzeko."
821,Parisen badira beste hiru asiar komunitate txikiago.
822,"Horregatik, Balmaseda merkataritza eta aduana leku garrantzitsua bilakatu zen."
823,"Uhartetxo batzuk hutsik daude, eta kobazulo handiak dituzte."
824,"Hegoaldean, norabide berean, Orbaizeta eta Otsagabia herri nafarrak ditugu."
825,"Urumea ibaia zeharkatuz, Egia, Loiola eta Loiolako Erriberak auzoak elkarlotuz."
826,Asiako hego-ekialdean dagoen bosgarren mendirik altuena da.
827,Gaur egun Ramiro Gonzalez da Arabako Ahaldun Nagusia.
828,Atzelari moduan jokatu izan zuen.
829,"Horretaz gain poloniera, grekoa eta italieraz hitz egiten zuen."
830,"Horrez gain, beste esanahi batzuk izan ditzake."
831,Satitsu arruntak sei azpiespezie ditu.
832,Musika tresnak eta erloju mekaniko bat irudikatzen ditu.
833,"Orduan, erbesteko gobernu monarkikoarekin adostu zuten Jugoslavia Federal Demokratikoaren sorrera."
834,Harri gris eta marroiak erabili zituzten eraikuntzan.
835,Piano txikiak eta kontzertuetarako piano handiak egin zituen.
836,Erbestetik itzulita ezagutarazi zuen bere burua idazle gisa.
837,Bertan Japonian bizi izan zituen lan gorabeherak kontatzen ditu.
838,Ekonomia eta lege-ikasketak egin zituen Andeetako Unibertsitatean.
839,"Horrez gain, Frantziako Arkitektura Akademiak urrezko domina eman zion."
840,"Dinastian, bere gurtza, hirugarren tarteko aroan berrindartu zelarik."
841,Baina hipotesi hau ez da ehuneko ehunean egiaztatu.
842,Inoiz ingurumen kalteengatik konpainia bati ezarritako isunik handiena zen.
843,Bere ikuspegitik kontatzen ditu gertaerak.
844,"Barne zatiketak, ordea, hustar mugimendua ahuldu zuen."
845,Litekeena bezala hartzen da errege hau borrokan hil izana.
846,Toxikoen eraginez zenbait herri hutsik geratu dira.
847,Elikagaiak eta sendagaiak ematen dizkio baserriak bere buruari.
848,"Halaber, Euskaltzain urgazlea ere ba da."
849,"Baina, guzti horietatik, bizirik, soilik gutxi batzuk jarraitu zuten."
850,"Mea-industriaz eta kimika-industriaz arduratu zen, batez ere."
851,Litekeena da bere osabak tronutik kendu izana.
852,Baionako Lizeoan ikasi eta Bordelen goi-mailako ikasketak burutu zituen.
853,Betiere tartean euskara egongo da.
854,Egunkarian eta Berrian artikuluak idatzi ditu.
855,Hitz horiek ez dute inongo tradiziorik espainolez.
856,Amerika eta Asiako hegoalde eta hego-ekialdean bizi dira.
857,"Zurtoinaren azala leuna, grisaxka eta zartatua da."
858,Fruta usaina dauka eta zapore azido samarra.
859,San Fernando Arte Ederretako Akademiako kide izan zen.
860,Bost urte zituelarik aita galdu zuen.
861,Peruko armadan lotinant koronel izatera iritsi zen.
862,"Zapore mingots dute, uraza arrunta baino gogorragoa."
863,"Umearen generoa, umearen jaiotze data, dena jakin nahi dute."
864,Jendea hurbiltzeko bidea ere badira.
